2025-07-11 03:02:45.561 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.SolrIndexConfig IndexWriter infoStream solr logging is enabled
2025-07-11 03:02:45.636 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.IndexSchema Schema name=drupal-4.3.10-solr-9.x-0
2025-07-11 03:02:45.670 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2025-07-11 03:02:46.108 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-11 03:02:46.300 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@4b629f13{solr-jetty-context.xml,/solr,file:///opt/solr-9.8.1/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.8.1/server/solr-webapp/webapp}
2025-07-11 03:02:46.310 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2025_07_11.request.log
2025-07-11 03:02:46.317 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@40f1be1b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2025-07-11 03:02:46.318 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@773cbf4f{STARTING}[10.0.22,sto=0] @16483ms
2025-07-11 03:02:46.813 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.IndexSchema Loaded schema drupal-4.3.10-solr-9.x-0/1.6 with uniqueid field id
2025-07-11 03:02:47.219 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.c.CoreContainer Creating SolrCore 'drupal' using configuration from instancedir /var/solr/data/drupal, trusted=true
2025-07-11 03:02:47.267 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/drupal], dataDir=[/var/solr/data/drupal/data/]
2025-07-11 03:02:47.276 WARN  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.D.s.CircuitBreakerManager Solr loaded a deprecated plugin/analysis class [solr.CircuitBreakerManager]. Please consult documentation how to replace it accordingly.
2025-07-11 03:02:47.276 WARN  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.c.CircuitBreakerManager CircuitBreakerManager is deprecated. Use individual Circuit Breakers instead
2025-07-11 03:02:47.277 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.c.CircuitBreakerRegistry Registered circuit breaker CircuitBreakerManager for request type(s) QUERY
2025-07-11 03:02:47.761 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-11 03:02:47.791 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2025-07-11 03:02:47.791 WARN  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.UpdateLog numVersionBuckets is obsolete
2025-07-11 03:02:47.801 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10
2025-07-11 03:02:47.802 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-07-11 03:02:47.803 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 5000ms; 
2025-07-11 03:02:47.970 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/drupal/conf
2025-07-11 03:02:47.985 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.DirectSolrSpellChecker init: {name=en, field=spellcheck_en, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, maxQueryFrequency=0.01, thresholdTokenFrequency=.01, onlyMorePopular=true}
